title,price,area,address,floors,bedrooms,description
Bán CHDV mặt tiền đường Lê Đức Thọ P 7 dt 4x19 với 5 lầu 20p,Giá: 28 tỷ,Diện tích: 76 m²,"Đường Lê Đức Thọ,
                                    Phường Hạnh Thông,
                                    Hồ Chí Minh",5 tầng,20 phòng ngủ,"💣Bán CHDV Lê đức thọ phường 7 gò vấp 

☘️dt :4x 19  nhà góc 3 mặt tiền

Nhà xây mới, có đua ban công, nhà gồm hầm để xe, trệt kinh doanh cafe, 5 tầng, tầng 4 phòng, tổng 20 phòng, đường trước nhà và bên hông rộng 10......  << Xem chi tiết >>"
"Chung cư Thạch Thị Thanh, QUẬN 1, 5.5 x 12 m (50 m2), giá 4 tỷ",Giá: 4 tỷ,Diện tích: 50 m²,"Đường Thạch Thị Thanh,
                                    Phường Tân Định,
                                    Hồ Chí Minh",1 tầng,1 phòng ngủ,"Chung cư Thạch Thị Thanh, QUẬN 1, (thông ra Võ Thị Sáu), đối diện Công viên Lê Văn Tám, giá 4 tỷ

💎 𝐃𝐈Ệ𝐍 𝐓Í𝐂𝐇 50 m2 :   3 (nở hậu 5.5) x 12 m
 
🔺 𝐊𝐄̂́𝐓 𝐂𝐀̂́𝐔:
   - Nhà nở hậu, rộng thoáng, có lối đi ri......  << Xem chi tiết >>"
"Bán Chung cư Nguyễn Thiện Thuật, QUẬN 3, hẻm Xe hơi, giá 2.4 tỷ","Giá: 2,4 tỷ",Diện tích: 36 m²,"Đường Nguyễn Thiện Thuật,
                                    Phường Bàn Cờ,
                                    Hồ Chí Minh",1 tầng,1 phòng ngủ,"Bán Chung cư Nguyễn Thiện Thuật, QUẬN 3, giá 2.4 tỷ

💎 𝐃𝐈Ệ𝐍 𝐓Í𝐂𝐇 36 m2:   3.5 x 12.5 m

🌳 𝐕Ị 𝐓𝐑Í :
   - Nhà thoáng sáng trồng cây xanh cực thích
   - Ban công trước và sau nên vô cùng mát mẻ cả năm
   -......  << Xem chi tiết >>"
BÁN CHDV P5 GÒ VẤP - NGUYỄN THÁI SƠN - ĐH VĂN LANG -THU KHÓAN 1.1 TỶ/N- 15.X TỶ,"Giá: 15,8 tỷ",Diện tích: 110 m²,"Đường Nguyễn Thái Sơn,
                                    Phường An Nhơn,
                                    Hồ Chí Minh",6 tầng,23 phòng ngủ,"⏰️⏰️⏰️CHDV CHUẨN TỪNG CENTIMET- 110M- Nở hậu 6m. HƠN 600M SÀN-7 TẦNG CÓ HẦM + THANG MÁY - 23 PHÒNG - THU NHẬP KHOÁN 90 TRIỆU/THÁNG - NGUYỄN THÁI SƠN - CẠNH BÊN ĐẠI HỌC VĂN LANG - HẺM Ô TÔ CHỈ 15.5 TỶ📣📣
✅ Đã có hợp đồn......  << Xem chi tiết >>"
"TOÀ CHDV - HẦM/8 TẦNG - NGAY CHỢ BẾN THÀNH, Q.1 - HĐT 62TR - GIÁ: 33 TỶ GIẢM VỀ 2X Tỷ",Giá: 28 tỷ,Diện tích: 78 m²,"Đường Calmette,
                                    Phường Sài Gòn,
                                    Hồ Chí Minh",8 tầng,16 phòng ngủ,"TOÀ CHDV - HẦM/8 TẦNG - NGAY CHỢ BẾN THÀNH, Q.1 - HĐT KHOÁN 62TR/THÁNG - GIÁ 33 TỶ GIẢM VỀ 2X TỶ

- Diện tích đất CN: 78m2 (5m x 16,2m) 
- Kết cấu: 8 Tầng (Hầm + Trệt + lửng + 4 Tầng + sân Thượng), Thang máy, PCCC đầy......  << Xem chi tiết >>"
Top nhà vị trí đẹp 4.5 x 16m Nguyễn Trãi Bến Thành TP.HCM,"Giá: 9,2 tỷ",Diện tích: 98 m²,"Đường Nguyễn Trãi,
                                    Phường Bến Thành,
                                    Hồ Chí Minh",1 tầng,2 phòng ngủ,"- Cần bán rẻ căn hộ tầng trệt mặt tiền thụt Nguyễn Trãi ngay ngã 6 Sài Gòn phường Bến Thành trung tâm TP.HCM, khu trí thức, an ninh, thoáng.
- Giao thông thuận tiện, ra chợ Bến Thành mất 5 phút đi bộ, gần khách sạn New ......  << Xem chi tiết >>"
Chào bán căn hộ Toà WYNDHAM SOLEIL Võ Nguyên giáp TP Đà Nẵng,"Giá: 5,05 tỷ",Diện tích: 64 m²,"Đường Võ Nguyên Giáp,
                                    Phường An Hải,
                                    Đà Nẵng",16 tầng,1 phòng ngủ,"CẦN BÁN CĂN HỘ . ĐƯỜNG VÕ NGUYÊN GIÁP TP ĐÀ NẴNG
- Vị trí: Tòa WYNDHAM SOLEIL – 4 mặt tiền hiếm (Võ Nguyên Giáp – Hồ Nghinh – Võ Văn Kiệt - Morrison)
- Diện tích: 63,5m2
- Full nội thất cao cấp – khai thác ngay
- Vie......  << Xem chi tiết >>"
Căn hộ FourS Tower Da Nang - Nhận nhà chỉ với 70% - chiết khấu lên đến 26% - HTLS 0%,"Giá: 1,7 tỷ",Diện tích: 32 m²,"Đường Minh Mạng,
                                    Phường Hòa Xuân,
                                    Đà Nẵng",20 tầng,1 phòng ngủ,"Loại hình sản phẩm: Cao tầng; gồm 4 tòa căn hộ cao 20 tầng và 2 tầng hầm
+ Căn Studio (~31m²)
+ Căn 1PN+1 (~54m²)
+ Căn 2PN (~65m²)
+ Căn 3PN (~74m²)......  << Xem chi tiết >>"
"Căn hộ 2PN Ecolife Signature Đà Nẵng - Giá chỉ từ 2,x tỷ - Sở hữu lâu dài","Giá: 2,4 tỷ",Diện tích: 66 m²,",
                                    Phường Hải Vân,
                                    Đà Nẵng",20 tầng,2 phòng ngủ,"Căn hộ 2PN Ecolife Signature Đà Nẵng - Giá chỉ từ 2,x tỷ - Sở hữu lâu dài
- Chiết khấu Early Bird 1% chỉ dành cho 100 căn đầu tiên
- Quà tặng 1 - 2 chỉ vàng 50 khách hàng cọc đầu tiên......  << Xem chi tiết >>"
"Bán căn 1PN+ sân vườn 98,2m² siêu hiếm Giá từ 2,769 tỷ Vay 70% HTLS 0%","Giá: 2,769 tỷ",Diện tích: 100 m²,"Đường Minh Mạng,
                                    Phường Hòa Xuân,
                                    Đà Nẵng",20 tầng,2 phòng ngủ,"+ Giá gốc (đã gồm VAT & KPBT): 3,632 tỷ 
+ Thanh toán theo tiến độ: 3,295 tỷ 
+ Thanh toán sớm 95%: chỉ 2,769 tỷ 
+ Thanh toán sớm 70%: chỉ 3,016 tỷ
+ Thanh toán sớm 50%: chỉ 3,130 tỷ......  << Xem chi tiết >>"
