title,price,area,address,floors,bedrooms,description,phan_khu,view,furniture
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.08 tỷ,Diện tích: 55.5 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",32 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Sapphire,Nội khu,Full đồ
Bán gấp căn 2N phân khu Zenpark Vinhomes Ocean Park,Giá: 3.81 tỷ,Diện tích: 67.8 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",6 tầng,2 phòng ngủ,"Căn hộ view Thành phố, nội thất Cơ bản",Zenpark,Thành phố,Cơ bản
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.73 tỷ,Diện tích: 34.2 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",9 tầng,1 phòng ngủ,"Căn hộ view Hồ Ngọc Trai, nội thất Trống",Sapphire,Hồ Ngọc Trai,Trống
Bán gấp căn 1N phân khu Pavilion Vinhomes Ocean Park,Giá: 1.84 tỷ,Diện tích: 38.8 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",3 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Pavilion,Nội khu,Full đồ
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.21 tỷ,Diện tích: 59.2 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",11 tầng,2 phòng ngủ,"Căn hộ view Thành phố, nội thất Trống",Sapphire,Thành phố,Trống
Bán gấp căn 1N phân khu Pavilion Vinhomes Ocean Park,Giá: 1.76 tỷ,Diện tích: 38.9 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",29 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Trống",Pavilion,Nội khu,Trống
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.67 tỷ,Diện tích: 40.8 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",24 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Sapphire,Nội khu,Cơ bản
Bán gấp căn 2N phân khu Pavilion Vinhomes Ocean Park,Giá: 3.34 tỷ,Diện tích: 65.6 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",20 tầng,2 phòng ngủ,"Căn hộ view Thành phố, nội thất Full đồ",Pavilion,Thành phố,Full đồ
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 3.77 tỷ,Diện tích: 65.1 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",28 tầng,2 phòng ngủ,"Căn hộ view Hồ Ngọc Trai, nội thất Full đồ",Sapphire,Hồ Ngọc Trai,Full đồ
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.62 tỷ,Diện tích: 41.0 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",34 tầng,1 phòng ngủ,"Căn hộ view Thành phố, nội thất Cơ bản",Sapphire,Thành phố,Cơ bản
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.55 tỷ,Diện tích: 56.5 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",8 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Sapphire,Nội khu,Full đồ
Bán gấp căn 1N phân khu Zenpark Vinhomes Ocean Park,Giá: 2.51 tỷ,Diện tích: 38.6 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",12 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Zenpark,Nội khu,Cơ bản
Bán gấp căn 2N phân khu Pavilion Vinhomes Ocean Park,Giá: 4.39 tỷ,Diện tích: 68.2 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",15 tầng,2 phòng ngủ,"Căn hộ view Hồ Ngọc Trai, nội thất Cơ bản",Pavilion,Hồ Ngọc Trai,Cơ bản
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.25 tỷ,Diện tích: 55.9 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",25 tầng,2 phòng ngủ,"Căn hộ view Thành phố, nội thất Trống",Sapphire,Thành phố,Trống
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.2 tỷ,Diện tích: 30.6 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",26 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Sapphire,Nội khu,Full đồ
Bán gấp căn 3N phân khu Pavilion Vinhomes Ocean Park,Giá: 4.73 tỷ,Diện tích: 80.8 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",16 tầng,3 phòng ngủ,"Căn hộ view Hồ Ngọc Trai, nội thất Full đồ",Pavilion,Hồ Ngọc Trai,Full đồ
Bán gấp căn 1N phân khu Pavilion Vinhomes Ocean Park,Giá: 1.68 tỷ,Diện tích: 41.3 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",26 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Pavilion,Nội khu,Cơ bản
Bán gấp căn 3N phân khu Zenpark Vinhomes Ocean Park,Giá: 4.54 tỷ,Diện tích: 75.7 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",32 tầng,3 phòng ngủ,"Căn hộ view Thành phố, nội thất Cơ bản",Zenpark,Thành phố,Cơ bản
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.88 tỷ,Diện tích: 65.3 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",6 tầng,2 phòng ngủ,"Căn hộ view Hồ Ngọc Trai, nội thất Cơ bản",Sapphire,Hồ Ngọc Trai,Cơ bản
Bán gấp căn 3N phân khu Ruby Vinhomes Ocean Park,Giá: 4.66 tỷ,Diện tích: 90.2 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",18 tầng,3 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Ruby,Nội khu,Cơ bản
Bán gấp căn 2N phân khu Zenpark Vinhomes Ocean Park,Giá: 3.41 tỷ,Diện tích: 58.9 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",24 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Zenpark,Nội khu,Cơ bản
Bán gấp căn 2N phân khu Ruby Vinhomes Ocean Park,Giá: 3.05 tỷ,Diện tích: 61.3 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",17 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Ruby,Nội khu,Cơ bản
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.59 tỷ,Diện tích: 42.2 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",34 tầng,1 phòng ngủ,"Căn hộ view Thành phố, nội thất Trống",Sapphire,Thành phố,Trống
Bán gấp căn 3N phân khu Sapphire Vinhomes Ocean Park,Giá: 3.96 tỷ,Diện tích: 93.2 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",21 tầng,3 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Sapphire,Nội khu,Full đồ
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.99 tỷ,Diện tích: 67.0 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",8 tầng,2 phòng ngủ,"Căn hộ view Thành phố, nội thất Cơ bản",Sapphire,Thành phố,Cơ bản
Bán gấp căn 2N phân khu Zenpark Vinhomes Ocean Park,Giá: 4.2 tỷ,Diện tích: 66.4 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",10 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Zenpark,Nội khu,Cơ bản
Bán gấp căn 3N phân khu Sapphire Vinhomes Ocean Park,Giá: 3.03 tỷ,Diện tích: 81.7 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",21 tầng,3 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Sapphire,Nội khu,Cơ bản
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.77 tỷ,Diện tích: 42.9 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",11 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Sapphire,Nội khu,Cơ bản
Bán gấp căn 3N phân khu Pavilion Vinhomes Ocean Park,Giá: 3.84 tỷ,Diện tích: 93.7 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",24 tầng,3 phòng ngủ,"Căn hộ view Thành phố, nội thất Trống",Pavilion,Thành phố,Trống
Bán gấp căn 3N phân khu Sapphire Vinhomes Ocean Park,Giá: 4.21 tỷ,Diện tích: 99.2 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",16 tầng,3 phòng ngủ,"Căn hộ view Thành phố, nội thất Cơ bản",Sapphire,Thành phố,Cơ bản
Bán gấp căn 3N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.94 tỷ,Diện tích: 78.9 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",8 tầng,3 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Sapphire,Nội khu,Cơ bản
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.93 tỷ,Diện tích: 38.5 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",6 tầng,1 phòng ngủ,"Căn hộ view Hồ Ngọc Trai, nội thất Cơ bản",Sapphire,Hồ Ngọc Trai,Cơ bản
Bán gấp căn 2N phân khu Pavilion Vinhomes Ocean Park,Giá: 2.3 tỷ,Diện tích: 55.2 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",23 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Trống",Pavilion,Nội khu,Trống
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.64 tỷ,Diện tích: 63.9 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",26 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Sapphire,Nội khu,Cơ bản
Bán gấp căn 2N phân khu Pavilion Vinhomes Ocean Park,Giá: 2.93 tỷ,Diện tích: 56.4 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",35 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Pavilion,Nội khu,Full đồ
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.36 tỷ,Diện tích: 69.2 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",34 tầng,2 phòng ngủ,"Căn hộ view Thành phố, nội thất Cơ bản",Sapphire,Thành phố,Cơ bản
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.31 tỷ,Diện tích: 64.1 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",32 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Sapphire,Nội khu,Full đồ
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.63 tỷ,Diện tích: 65.9 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",12 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Sapphire,Nội khu,Full đồ
Bán gấp căn 3N phân khu Pavilion Vinhomes Ocean Park,Giá: 3.83 tỷ,Diện tích: 96.9 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",29 tầng,3 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Pavilion,Nội khu,Cơ bản
Bán gấp căn 2N phân khu Pavilion Vinhomes Ocean Park,Giá: 3.17 tỷ,Diện tích: 69.9 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",5 tầng,2 phòng ngủ,"Căn hộ view Thành phố, nội thất Cơ bản",Pavilion,Thành phố,Cơ bản
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.79 tỷ,Diện tích: 66.4 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",31 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Sapphire,Nội khu,Full đồ
Bán gấp căn 2N phân khu Zenpark Vinhomes Ocean Park,Giá: 3.14 tỷ,Diện tích: 58.7 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",14 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Trống",Zenpark,Nội khu,Trống
Bán gấp căn 1N phân khu Ruby Vinhomes Ocean Park,Giá: 2.04 tỷ,Diện tích: 43.7 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",29 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Trống",Ruby,Nội khu,Trống
Bán gấp căn 1N phân khu Zenpark Vinhomes Ocean Park,Giá: 2.09 tỷ,Diện tích: 34.9 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",17 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Zenpark,Nội khu,Cơ bản
Bán gấp căn 3N phân khu Pavilion Vinhomes Ocean Park,Giá: 4.22 tỷ,Diện tích: 92.1 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",12 tầng,3 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Pavilion,Nội khu,Cơ bản
Bán gấp căn 1N phân khu Zenpark Vinhomes Ocean Park,Giá: 1.68 tỷ,Diện tích: 33.1 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",21 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Trống",Zenpark,Nội khu,Trống
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.1 tỷ,Diện tích: 58.1 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",33 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Sapphire,Nội khu,Full đồ
Bán gấp căn 2N phân khu Pavilion Vinhomes Ocean Park,Giá: 2.75 tỷ,Diện tích: 61.6 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",21 tầng,2 phòng ngủ,"Căn hộ view Thành phố, nội thất Cơ bản",Pavilion,Thành phố,Cơ bản
Bán gấp căn 3N phân khu Sapphire Vinhomes Ocean Park,Giá: 4.19 tỷ,Diện tích: 92.0 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",13 tầng,3 phòng ngủ,"Căn hộ view Thành phố, nội thất Full đồ",Sapphire,Thành phố,Full đồ
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.77 tỷ,Diện tích: 35.1 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",23 tầng,1 phòng ngủ,"Căn hộ view Hồ Ngọc Trai, nội thất Cơ bản",Sapphire,Hồ Ngọc Trai,Cơ bản
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.91 tỷ,Diện tích: 62.5 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",8 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Sapphire,Nội khu,Full đồ
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.6 tỷ,Diện tích: 40.9 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",22 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Sapphire,Nội khu,Cơ bản
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.46 tỷ,Diện tích: 62.4 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",6 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Sapphire,Nội khu,Full đồ
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.09 tỷ,Diện tích: 30.1 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",33 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Trống",Sapphire,Nội khu,Trống
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.76 tỷ,Diện tích: 45.0 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",9 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Sapphire,Nội khu,Full đồ
Bán gấp căn 2N phân khu Pavilion Vinhomes Ocean Park,Giá: 2.74 tỷ,Diện tích: 54.8 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",18 tầng,2 phòng ngủ,"Căn hộ view Thành phố, nội thất Cơ bản",Pavilion,Thành phố,Cơ bản
Bán gấp căn 1N phân khu Pavilion Vinhomes Ocean Park,Giá: 1.69 tỷ,Diện tích: 35.0 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",9 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Trống",Pavilion,Nội khu,Trống
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.5 tỷ,Diện tích: 39.4 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",23 tầng,1 phòng ngủ,"Căn hộ view Thành phố, nội thất Trống",Sapphire,Thành phố,Trống
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.44 tỷ,Diện tích: 32.7 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",21 tầng,1 phòng ngủ,"Căn hộ view Thành phố, nội thất Full đồ",Sapphire,Thành phố,Full đồ
Bán gấp căn 3N phân khu Sapphire Vinhomes Ocean Park,Giá: 3.36 tỷ,Diện tích: 84.2 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",5 tầng,3 phòng ngủ,"Căn hộ view Thành phố, nội thất Trống",Sapphire,Thành phố,Trống
Bán gấp căn 2N phân khu Pavilion Vinhomes Ocean Park,Giá: 2.51 tỷ,Diện tích: 58.2 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",23 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Pavilion,Nội khu,Cơ bản
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.66 tỷ,Diện tích: 38.1 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",21 tầng,1 phòng ngủ,"Căn hộ view Thành phố, nội thất Full đồ",Sapphire,Thành phố,Full đồ
Bán gấp căn 3N phân khu Zenpark Vinhomes Ocean Park,Giá: 6.85 tỷ,Diện tích: 93.4 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",11 tầng,3 phòng ngủ,"Căn hộ view Hồ Ngọc Trai, nội thất Trống",Zenpark,Hồ Ngọc Trai,Trống
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.94 tỷ,Diện tích: 56.4 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",31 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Sapphire,Nội khu,Full đồ
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.19 tỷ,Diện tích: 58.9 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",7 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Sapphire,Nội khu,Cơ bản
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.85 tỷ,Diện tích: 68.3 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",20 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Trống",Sapphire,Nội khu,Trống
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.21 tỷ,Diện tích: 58.7 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",9 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Sapphire,Nội khu,Cơ bản
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.85 tỷ,Diện tích: 65.2 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",4 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Sapphire,Nội khu,Cơ bản
